Feature Name,example,Notes
MPT_Attempts_Baseline1_PointEstimate,0.9719,Continuous
MPT_LexicalSemantic_Baseline1_PointEstimate,0.9727,Continuous
MPT_LexicalPhonological_Baseline1_PointEstimate,0.9848,Continuous
MPT_LexicalSelection_Baseline1_PointEstimate,0.9719,Continuous
MPT_Phonological_Baseline1_PointEstimate,0.9822,Continuous
MPT_Semantic_Baseline1_PointEstimate,0.9771,Continuous
MPT_Attempts_Baseline1_PointEstimateVariance,0.0102,Continuous
MPT_LexicalSemantic_Baseline1_PointEstimateVariance,0.0103,Continuous
MPT_LexicalPhonological_Baseline1_PointEstimateVariance,0.0076,Continuous
MPT_LexicalSelection_Baseline1_PointEstimateVariance,0.0105,Continuous
MPT_Phonological_Baseline1_PointEstimateVariance,0.0082,Continuous
MPT_Semantic_Baseline1_PointEstimateVariance,0.0105,Continuous
MPT_Attempts_Baseline2_PointEstimate,0.9681,Continuous
MPT_LexicalSemantic_Baseline2_PointEstimate,0.9558,Continuous
MPT_LexicalPhonological_Baseline2_PointEstimate,0.9836,Continuous
MPT_LexicalSelection_Baseline2_PointEstimate,0.9679,Continuous
MPT_Phonological_Baseline2_PointEstimate,0.9793,Continuous
MPT_Semantic_Baseline2_PointEstimate,0.9773,Continuous
MPT_Attempts_Baseline2_PointEstimateVariance,0.0115,Continuous
MPT_LexicalSemantic_Baseline2_PointEstimateVariance,0.0142,Continuous
MPT_LexicalPhonological_Baseline2_PointEstimateVariance,0.0084,Continuous
MPT_LexicalSelection_Baseline2_PointEstimateVariance,0.0113,Continuous
MPT_Phonological_Baseline2_PointEstimateVariance,0.009,Continuous
MPT_Semantic_Baseline2_PointEstimateVariance,0.0105,Continuous
MPT_Attempts_ZtestDifferenceInBaselinePointEstimates,0.8069,Continuous
MPT_LexicalSemantic_ZtestDifferenceInBaselinePointEstimates,0.3339,Continuous
MPT_LexicalPhonological_ZtestDifferenceInBaselinePointEstimates,0.9148,Continuous
MPT_LexicalSelection_ZtestDifferenceInBaselinePointEstimates,0.797,Continuous
MPT_Phonological_ZtestDifferenceInBaselinePointEstimates,0.8092,Continuous
MPT_Semantic_ZtestDifferenceInBaselinePointEstimates,0.9886,Continuous
PNT_MeanCorrectAcrossBaselineSessions,0.893790256,Continuous
PNT_MeanSemanticErrorsAcrossBaselineSessions,0.034417836,Continuous
PNT_MeanFormalErrorsAcrossBaselineSessions,0.005747316,Continuous
PNT_MeanMixedErrorsAcrossBaselineSessions,0.031593724,Continuous
PNT_MeanUnrelatedErrorsAcrossBaselineSessions,0,Continuous
PNT_MeanNeologismsAcrossBaselineSessions,0.008604459,Continuous
PNT_MeanAbstuseNeologismsAcrossBaselineSessions,0,Continuous
PNT_MeanNonNamingAttemptsAcrossBaselineSessions,0.025846408,Continuous
PNT_VarianceCorrectAcrossBaselineSessions,0.3073489,Continuous
PNT_VarianceSemanticErrorsAcrossBaselineSessions,0.180094681,Continuous
PNT_VarianceFormalErrorsAcrossBaselineSessions,0.075810743,Continuous
PNT_VarianceMixedErrorsAcrossBaselineSessions,0.175250447,Continuous
PNT_VarianceUnrelatedErrorsAcrossBaselineSessions,0,Continuous
PNT_VarianceNeologismsAcrossBaselineSessions,0.091312725,Continuous
PNT_VarianceAbstuseNeologismsAcrossBaselineSessions,0,Continuous
PNT_VarianceNonNamingAttemptsAcrossBaselineSessions,0.158900971,Continuous
Lesion_TotalBilateralLoad,0.008497248,Continuous
Lesion_TotalLHLoad,0.017084893,Continuous
Lesion_TotalRHLoad,0,Continuous
Lesion_LanguageTractsBilateralLoad,0.00647707,Continuous
Lesion_LanguageTractsLHLoad,0.012954139,Continuous
Lesion_DorsalBilateralLoad,0,Continuous
Lesion_DorsalLHLoad,0,Continuous
Lesion_DorsalRHLoad,0,Continuous
Lesion_VentralBilateralLoad,0,Continuous
Lesion_VentralLHLoad,0,Continuous
Lesion_VentralRHLoad,0,Continuous
Lesion_GreyMatterBilateralLoad,0.008096362,Continuous
Lesion_GreyMatterLHLoad,0.016192724,Continuous
Lesion_GreyMatterRHLoad,0,Continuous
Lesion_WhiteMatterBilateralLoad,0.010520296,Continuous
Lesion_WhiteMatterLHLoad,0.021040592,Continuous
Lesion_WhiteMatterRHLoad,0,Continuous
Lesion_CSFBilateralLoad,0,Continuous
Lesion_CSFLHLoad,0,Continuous
Lesion_LHLoadProportionalToTotalBilateralLoad,2.010638298,Continuous
Lesion_RHLoadProportionalToTotalBilateralLoad,0,Continuous
Lesion_LanguageTractsBilateralLoadProportionalToTotalBilateralLoad,0.762254956,Continuous
Lesion_DorsalBilateralLoadProportionalToTotalBilateralLoad,0,Continuous
Lesion_DorsalLHLoadProportionalToDorsalBilateralLoad,NaN,Continuous
Lesion_DorsalRHLoadProportionalToDorsalBilateralLoad,NaN,Continuous
Lesion_VentralBilateralLoadProportionalToTotalBilateralLoad,0,Continuous
Lesion_VentralLHLoadProportionalToVentralBilateralLoad,NaN,Continuous
Lesion_VentralRHLoadProportionalToVentralBilateralLoad,NaN,Continuous
Lesion_GreyMatterBilateralLoadProportionalToTotalBilateralLoad,0.952821608,Continuous
Lesion_GreyMatterLHLoadProportionalToGreyMatterBilateralLoad,2,Continuous
Lesion_GreyMatterRHProportionalToGreyMatterBilateralLoad,0,Continuous
Lesion_WhiteMatterBilateralLoadProportionalToTotalBilateralLoad,1.238082693,Continuous
Lesion_WhiteMatterLHLoadProportionalToWhiteMatterBilateralLoad,2,Continuous
Lesion_WhiteMatterRHLoadProportionalToWhiteMatterBilateralLoad,0,Continuous
Lesion_CSFBilateralLoadProportionalToTotalBilateralLoad,0,Continuous
Lesion_CSFLHLoadProportionalToCSFBilateralLoad,NaN,Continuous
CBF_TotalBilateral,NaN,Continuous
CBF_TotalLH,NaN,Continuous
CBF_TotalRH,NaN,Continuous
CBF_LanguageTractsBilateral,NaN,Continuous
CBF_LanguageTractsLH,NaN,Continuous
CBF_LanguageTractsRH,NaN,Continuous
CBF_DorsalBilateral,NaN,Continuous
CBF_DorsalLH,NaN,Continuous
CBF_DorsalRH,NaN,Continuous
CBF_VentralBilateral,NaN,Continuous
CBF_VentralLH,NaN,Continuous
CBF_VentralRH,NaN,Continuous
CBF_GreyMatterBilateral,NaN,Continuous
CBF_GreyMatterLH,NaN,Continuous
CBF_GreyMatterRH,NaN,Continuous
CBF_WhiteMatterBilateral,NaN,Continuous
CBF_WhiteMatterLH,NaN,Continuous
CBF_WhiteMatterRH,NaN,Continuous
CBF_CSFBilateral,NaN,Continuous
CBF_CSFLH,NaN,Continuous
CBF_CSFRH,NaN,Continuous
CBF_TotalLHProportionalToTotalBilateral,NaN,Continuous
CBF_TotalRHProportionaToTotalBilateral,NaN,Continuous
CBF_LanguageTractsBilateralProportionalToTotalBilateral,NaN,Continuous
CBF_LanguageTractsLHProportionalToLanguageTractsBilateral,NaN,Continuous
CBF_LanguageTractsRHProportionalToLanguageTractsBilateral,NaN,Continuous
CBF_DorsalBilateralProportionalToTotalBilateral,NaN,Continuous
CBF_DorsalLHProportionalToDorsalBilateral,NaN,Continuous
CBF_DorsalRHProportionalToDorsalBilateral,NaN,Continuous
CBF_VentrallBilateralProportionalToTotalBilateral,NaN,Continuous
CBF_VentralLHProportionalToVentralBilateral,NaN,Continuous
CBF_VentralRHProportionalToVentralBilateral,NaN,Continuous
CBF_GreyMatterBilateralProportionalToTotalBilateral,NaN,Continuous
CBF_GreyMatterLHProportionalToGreyMatterBilateral,NaN,Continuous
CBF_GreyMatterRHProportionalToGreyMatterBilateral,NaN,Continuous
CBF_WhiteMatterBilateralProportionalToTotalBilateral,NaN,Continuous
CBF_WhiteMatterLHProportionalToWMBilateral,NaN,Continuous
CBF_WhiteMatterRHProportionalToWMBilateral,NaN,Continuous
CBF_CSFBilateralProportionalToTotalBilateral,NaN,Continuous
CBF_CSFLHProportionalToCSFBilateral,NaN,Continuous
CBF_CSFRHProportionalToCSFBilateral,NaN,Continuous
FA_TotalBilateral,0.317669292,Continuous
FA_TotalLH,0.314922089,Continuous
FA_TotalRH,0.320775037,Continuous
FA_LanguageTractsBilateral,0.430399606,Continuous
FA_LanguageTractsLH,0.401964874,Continuous
FA_LanguageTractsRH,0.458834338,Continuous
FA_DorsalBilateral,0.23842108,Continuous
FA_DorsalLH,0.231907306,Continuous
FA_DorsalRH,0.244934854,Continuous
FA_VentralBilateral,0.210949307,Continuous
FA_VentralLH,0.193980367,Continuous
FA_VentralRH,0.227918248,Continuous
FA_GreyMatterBilateral,0.244917109,Continuous
FA_GreyMatterLH,0.241829976,Continuous
FA_GreyMatterRH,0.248004243,Continuous
FA_WhiteMatterBilateral,0.430582859,Continuous
FA_WhiteMatterLH,0.432462936,Continuous
FA_WhiteMatterRH,0.428702783,Continuous
FA_CSFBilateral,0.347179982,Continuous
FA_CSFLH,0.31965758,Continuous
FA_CSFRH,0.387345092,Continuous
FA_TotalLHProportionalToTotalBilateral,0.991352003,Continuous
FA_TotalRHProportionaToTotalBilateral,1.009776658,Continuous
FA_LanguageTractsBilateralProportionalToTotalBilateral,1.354866889,Continuous
FA_LanguageTractsLHProportionalToLanguageTractsBilateral,0.933934112,Continuous
FA_LanguageTractsRHProportionalToLanguageTractsBilateral,1.066065888,Continuous
FA_DorsalBilateralProportionalToTotalBilateral,0.750532349,Continuous
FA_DorsalLHProportionalToDorsalBilateral,0.972679538,Continuous
FA_DorsalRHProportionalToDorsalBilateral,1.027320462,Continuous
FA_VentrallBilateralProportionalToTotalBilateral,0.664053191,Continuous
FA_VentralLHProportionalToVentralBilateral,0.919559155,Continuous
FA_VentralRHProportionalToVentralBilateral,1.080440845,Continuous
FA_GreyMatterBilateralProportionalToTotalBilateral,0.77098138,Continuous
FA_GreyMatterLHProportionalToGreyMatterBilateral,0.987395191,Continuous
FA_GreyMatterRHProportionalToGreyMatterBilateral,1.012604809,Continuous
FA_WhiteMatterBilateralProportionalToTotalBilateral,1.355443758,Continuous
FA_WhiteMatterLHProportionalToWMBilateral,1.004366353,Continuous
FA_WhiteMatterRHProportionalToWMBilateral,0.995633647,Continuous
FA_CSFBilateralProportionalToTotalBilateral,1.09289752,Continuous
FA_CSFLHProportionalToCSFBilateral,0.920725839,Continuous
FA_CSFRHProportionalToCSFBilateral,1.115689592,Continuous
MD_TotalBilateral,0.000912035,Continuous
MD_TotalLH,0.000937814,Continuous
MD_TotalRH,0.000881694,Continuous
MD_LanguageTractsBilateral,0.000774777,Continuous
MD_LanguageTractsLH,0.000803764,Continuous
MD_LanguageTractsRH,0.00074579,Continuous
MD_DorsalBilateral,0.000921914,Continuous
MD_DorsalLH,0.000940582,Continuous
MD_DorsalRH,0.000903246,Continuous
MD_VentralBilateral,0.000894935,Continuous
MD_VentralLH,0.00093518,Continuous
MD_VentralRH,0.00085469,Continuous
MD_GreyMatterBilateral,0.000904617,Continuous
MD_GreyMatterLH,0.000930411,Continuous
MD_GreyMatterRH,0.000878822,Continuous
MD_WhiteMatterBilateral,0.000840256,Continuous
MD_WhiteMatterLH,0.00084922,Continuous
MD_WhiteMatterRH,0.000831292,Continuous
MD_CSFBilateral,0.001429935,Continuous
MD_CSFLH,0.001621684,Continuous
MD_CSFRH,0.001256011,Continuous
MD_TotalLHProportionalToTotalBilateral,1.028266083,Continuous
MD_TotalRHProportionaToTotalBilateral,0.966732613,Continuous
MD_LanguageTractsBilateralProportionalToTotalBilateral,0.633771705,Continuous
